Lake_ID,Ecozone
X06.071,BS
X06.080,BS
X06.095,BS
X06.102,BS
X06.104,BS
X06.126,BS
X06.127,BS
X06.129,BS
X06.131,BS
X06.132,BS
X06.136,BS
X06.140,BS
X06.141,BS
X06.142,BS
X06.156,BS
X06.161,BS
X06.167,BS
X06.174,BS
X06.196,BS
X06.198,BS
X06.199,BS
X06.217,BS
X06.220,BS
X07.001,AM
X07.002,AM
X07.003,AM
X07.006,AM
X07.007,AM
X07.008,AM
X07.009,AM
X07.010,AM
X07.011,AM
X07.014,AM
X07.015,AM
X07.021,AM
X07.022,AM
X07.026,AM
X07.028,AM
X07.029,AM
X07.030,AM
X07.031,AM
X07.032,AM
X07.033,AH
X07.040,AM
X07.047,AM
X07.049,AM
X07.051,AM
X07.055,AM
X07.057,AM
X08.097,MP
X08.120,MP
X08.134,MP
X08.135,MP
X08.138,BS
X08.144,MP
X08.152,MP
X08.155,MP
X08.157,MP
X08.160,MP
X08.164,MP
X08.168,MP
X08.179,MP
X08.180,MP
X08.183,MP
X08.184,MP
X08.186,MP
X08.188,MP
X08.189,MP
X08.193,MP
X08.194,MP
X08.197,MP
X08.210,MP
X08.212,MP
X08.216,MP
X08.219,MP
X17.018,AH
X17.027,AH
X17.043,AH
X17.050,BS
X17.054,AH
X17.056,AH
X17.058,AH
X17.060,AH
X17.061,AH
X17.063,AH
X17.065,AH
X17.067,AH
X17.072,AH
X17.073,AH
X17.074,AH
X17.077,AH
X17.086,AH
X17.090,AH
X17.091,AH
X17.093,AH
X17.098,AH
X17.107,AH
X17.112,AH
X17.113,AH
X17.116,AH
