Lake_ID,HI_Class
X06.071,MODERATE
X06.080,LOW
X06.095,LOW
X06.102,HIGH
X06.104,HIGH
X06.126,MODERATE
X06.127,MODERATE
X06.129,LOW
X06.131,HIGH
X06.132,LOW
X06.136,MODERATE
X06.140,LOW
X06.141,MODERATE
X06.142,LOW
X06.156,LOW
X06.161,MODERATE
X06.167,LOW
X06.174,LOW
X06.196,MODERATE
X06.198,MODERATE
X06.199,MODERATE
X06.217,LOW
X06.220,LOW
X07.001,MODERATE
X07.002,LOW
X07.003,HIGH
X07.006,LOW
X07.007,HIGH
X07.008,MODERATE
X07.009,LOW
X07.010,LOW
X07.011,HIGH
X07.014,MODERATE
X07.015,LOW
X07.021,LOW
X07.022,LOW
X07.026,LOW
X07.028,MODERATE
X07.029,HIGH
X07.030,HIGH
X07.031,HIGH
X07.032,MODERATE
X07.033,LOW
X07.040,LOW
X07.047,LOW
X07.049,MODERATE
X07.051,MODERATE
X07.055,HIGH
X07.057,HIGH
X08.097,HIGH
X08.120,MODERATE
X08.134,LOW
X08.135,MODERATE
X08.138,MODERATE
X08.144,MODERATE
X08.152,LOW
X08.155,MODERATE
X08.157,MODERATE
X08.160,LOW
X08.164,HIGH
X08.168,MODERATE
X08.179,HIGH
X08.180,HIGH
X08.183,HIGH
X08.184,HIGH
X08.186,HIGH
X08.188,HIGH
X08.189,MODERATE
X08.193,HIGH
X08.194,HIGH
X08.197,MODERATE
X08.210,HIGH
X08.212,MODERATE
X08.216,LOW
X08.219,LOW
X17.018,LOW
X17.027,MODERATE
X17.043,LOW
X17.050,MODERATE
X17.054,MODERATE
X17.056,LOW
X17.058,HIGH
X17.060,HIGH
X17.061,MODERATE
X17.063,MODERATE
X17.065,LOW
X17.067,LOW
X17.072,MODERATE
X17.073,MODERATE
X17.074,LOW
X17.077,MODERATE
X17.086,LOW
X17.090,LOW
X17.091,MODERATE
X17.093,MODERATE
X17.098,MODERATE
X17.107,MODERATE
X17.112,MODERATE
X17.113,MODERATE
X17.116,LOW
